GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AVAfield,model.evento,EventoDAO,45,212,3,9,15,59,3,10,0,7
AVAfield,model.evento,EventoServiceImpl,134,24,4,0,36,7,12,2,10,2
AVAfield,model.evento,EventoExtractor,0,48,0,0,0,12,0,2,0,2
AVAfield,model.evento,Evento,47,45,0,0,13,20,4,13,4,13
AVAfield,application.GestioneRecensioni,RecensioneController,59,139,3,5,18,33,7,3,4,2
AVAfield,application.Autenticazione,AutenticazioneController,106,343,9,28,29,79,12,15,4,2
AVAfield,model.struttura,StrutturaDAO,36,198,3,7,13,54,3,8,0,6
AVAfield,model.struttura,StrutturaServiceImpl,28,12,0,0,10,4,5,2,5,2
AVAfield,model.struttura,StrutturaExtractor,0,54,0,0,0,12,0,2,0,2
AVAfield,model.struttura,Struttura,20,96,0,0,1,39,1,20,1,20
AVAfield,model.utente,UtenteExtractor,0,54,0,0,0,12,0,2,0,2
AVAfield,model.utente,UtenteServiceImpl,67,12,4,0,20,4,10,2,8,2
AVAfield,model.utente,Utente,68,123,0,0,18,45,4,21,4,21
AVAfield,model.utente,UtenteDAO,80,204,3,7,24,58,4,9,1,7
AVAfield,application.GestioneStrutture,StrutturaController,61,306,4,17,19,71,8,11,4,2
AVAfield,model.recensione,RecensioneDAO,79,162,4,6,23,48,4,8,1,6
AVAfield,model.recensione,Recensione,14,66,0,0,1,27,1,14,1,14
AVAfield,model.recensione,RecensioneServiceImpl,27,12,0,0,10,4,5,2,5,2
AVAfield,model.recensione,RecensioneExtractor,0,57,0,0,0,15,0,2,0,2
AVAfield,application.GestioneEventi,EventoController,185,139,11,12,42,35,10,8,2,2
AVAfield,model.evento_utente,EventoUtenteDAO,17,101,1,5,7,34,1,6,0,4
AVAfield,model.evento_utente,EventoUtenteExtractor,0,33,0,0,0,9,0,2,0,2
AVAfield,model.evento_utente,EventoUtente,15,17,0,0,5,7,2,5,2,5
AVAfield,application.GestioneUtenti,UtenteController,24,273,4,11,7,65,6,8,2,2
AVAfield,model.utils,ConPool,3,45,0,2,2,14,1,2,1,1
